Current char: a, ASCII value: 97
Current char: b, ASCII value: 98
Current char: c, ASCII value: 99
Current char: d, ASCII value: 100
Current char: e, ASCII value: 101
Current char: f, ASCII value: 102
Current char: g, ASCII value: 103
Current char: h, ASCII value: 104
Current char: i, ASCII value: 105
Current char: j, ASCII value: 106
Current char: k, ASCII value: 107
Current char: l, ASCII value: 108
Current char: m, ASCII value: 109
Current char: n, ASCII value: 110
Current char: o, ASCII value: 111
Current char: p, ASCII value: 112
Current char: q, ASCII value: 113
Current char: r, ASCII value: 114
Current char: s, ASCII value: 115
Current char: t, ASCII value: 116
Current char: u, ASCII value: 117
Current char: v, ASCII value: 118
Current char: w, ASCII value: 119
Current char: x, ASCII value: 120
Current char: y, ASCII value: 121
Current char: z, ASCII value: 122
